Player,Pos,Age,Tm,Link,Status
Cory Joseph,PG,31,DET,https://www.basketball-reference.com/players/j/josepco01.html,Active
Nikola Jović,PF,19,MIA,https://www.basketball-reference.com/players/j/jovicni01.html,Active
Mfiondu Kabengele,PF,25,BOS,https://www.basketball-reference.com/players/k/kabenmf01.html,Active
Frank Kaminsky,C,29,ATL,https://www.basketball-reference.com/players/k/kaminfr01.html,Active
Trevor Keels,SG,19,NYK,https://www.basketball-reference.com/players/k/keelstr01.html,Active
Luke Kennard,SG,26,LAC,https://www.basketball-reference.com/players/k/kennalu01.html,Active
Walker Kessler,C,21,UTA,https://www.basketball-reference.com/players/k/kesslwa01.html,Active
Braxton Key,SF,25,DET,https://www.basketball-reference.com/players/k/keybr01.html,Active
Corey Kispert,SF,23,WAS,https://www.basketball-reference.com/players/k/kispeco01.html,Active
Maxi Kleber,C,31,DAL,https://www.basketball-reference.com/players/k/klebima01.html,Active
Nathan Knight,PF,25,MIN,https://www.basketball-reference.com/players/k/knighna01.html,Active
Kevin Knox,PF,23,DET,https://www.basketball-reference.com/players/k/knoxke01.html,Active
Christian Koloko,C,22,TOR,https://www.basketball-reference.com/players/k/kolokch01.html,Active
John Konchar,SG,26,MEM,https://www.basketball-reference.com/players/k/konchjo01.html,Active
Furkan Korkmaz,SG,25,PHI,https://www.basketball-reference.com/players/k/korkmfu01.html,Active
Luke Kornet,C,27,BOS,https://www.basketball-reference.com/players/k/kornelu01.html,Active
Vit Krejci,PG,22,ATL,https://www.basketball-reference.com/players/k/krejcvi01.html,Active
Jonathan Kuminga,PF,20,GSW,https://www.basketball-reference.com/players/k/kuminjo01.html,Active
Kyle Kuzma,PF,27,WAS,https://www.basketball-reference.com/players/k/kuzmaky01.html,Active
Anthony Lamb,SF,25,GSW,https://www.basketball-reference.com/players/l/lamban01.html,Active
Jock Landale,C,27,PHO,https://www.basketball-reference.com/players/l/landajo01.html,Active
Romeo Langford,SG,23,SAS,https://www.basketball-reference.com/players/l/langfro01.html,Active
Jake LaRavia,PF,21,MEM,https://www.basketball-reference.com/players/l/laravja01.html,Active
Zach LaVine,SG,27,CHI,https://www.basketball-reference.com/players/l/lavinza01.html,Active
A.J. Lawson,SG,22,TOT,https://www.basketball-reference.com/players/l/lawsoaj01.html,Active
A.J. Lawson,SG,22,MIN,https://www.basketball-reference.com/players/l/lawsoaj01.html,Active
A.J. Lawson,SG,22,DAL,https://www.basketball-reference.com/players/l/lawsoaj01.html,Active
Damion Lee,SG,30,PHO,https://www.basketball-reference.com/players/l/leeda03.html,Active
Saben Lee,PG,23,TOT,https://www.basketball-reference.com/players/l/leesa01.html,Active
Saben Lee,PG,23,PHI,https://www.basketball-reference.com/players/l/leesa01.html,Active
Saben Lee,PG,23,PHO,https://www.basketball-reference.com/players/l/leesa01.html,Active
Alex Len,C,29,SAC,https://www.basketball-reference.com/players/l/lenal01.html,Active
Kawhi Leonard,SF,31,LAC,https://www.basketball-reference.com/players/l/leonaka01.html,Active
Caris LeVert,SG,28,CLE,https://www.basketball-reference.com/players/l/leverca01.html,Active
Kira Lewis Jr.,PG,21,NOP,https://www.basketball-reference.com/players/l/lewiski01.html,Active
Damian Lillard,PG,32,POR,https://www.basketball-reference.com/players/l/lillada01.html,Active
Nassir Little,SF,22,POR,https://www.basketball-reference.com/players/l/littlna01.html,Active
Isaiah Livers,PF,24,DET,https://www.basketball-reference.com/players/l/liveris01.html,Active
Kenneth Lofton Jr.,PF,20,MEM,https://www.basketball-reference.com/players/l/loftoke01.html,Active
Kevon Looney,C,26,GSW,https://www.basketball-reference.com/players/l/looneke01.html,Active
Brook Lopez,C,34,MIL,https://www.basketball-reference.com/players/l/lopezbr01.html,Active
Robin Lopez,C,34,CLE,https://www.basketball-reference.com/players/l/lopezro01.html,Active
Kevin Love,PF,34,CLE,https://www.basketball-reference.com/players/l/loveke01.html,Active
Kyle Lowry,PG,36,MIA,https://www.basketball-reference.com/players/l/lowryky01.html,Active
Trey Lyles,PF,27,SAC,https://www.basketball-reference.com/players/l/lylestr01.html,Active
Théo Maledon,PG,21,CHO,https://www.basketball-reference.com/players/m/maledth01.html,Active
Sandro Mamukelashvili,C,23,MIL,https://www.basketball-reference.com/players/m/mamuksa01.html,Active
Terance Mann,SG,26,LAC,https://www.basketball-reference.com/players/m/mannte01.html,Active
Tre Mann,PG,21,OKC,https://www.basketball-reference.com/players/m/manntr01.html,Active
Boban Marjanović,C,34,HOU,https://www.basketball-reference.com/players/m/marjabo01.html,Active
Lauri Markkanen,SF,25,UTA,https://www.basketball-reference.com/players/m/markkla01.html,Active
Naji Marshall,SF,25,NOP,https://www.basketball-reference.com/players/m/marshna01.html,Active
Caleb Martin,PF,27,MIA,https://www.basketball-reference.com/players/m/martica02.html,Active
Cody Martin,SF,27,CHO,https://www.basketball-reference.com/players/m/martico01.html,Active
Kenyon Martin Jr.,SF,22,HOU,https://www.basketball-reference.com/players/m/martike04.html,Active
Tyrese Martin,SG,23,ATL,https://www.basketball-reference.com/players/m/martity01.html,Active
Garrison Mathews,SG,26,HOU,https://www.basketball-reference.com/players/m/mathega01.html,Active
Bennedict Mathurin,SF,20,IND,https://www.basketball-reference.com/players/m/mathube01.html,Active
Wesley Matthews,SG,36,MIL,https://www.basketball-reference.com/players/m/matthwe02.html,Active
Tyrese Maxey,SG,22,PHI,https://www.basketball-reference.com/players/m/maxeyty01.html,Active
Miles McBride,PG,22,NYK,https://www.basketball-reference.com/players/m/mcbrimi01.html,Active
CJ McCollum,SG,31,NOP,https://www.basketball-reference.com/players/m/mccolcj01.html,Active
